infinitive|simple past|past participle||Deutsch
be|was/were|been||sein
I am|I was|I have been||ich bin
he is|he was|he has been||er ist
we are|we were|we have been||wir sind
beat|beat|beaten||schlagen
become|became|become||werden
begin|began|begun||beginnen, anfangen
bet*|bet|bet||wetten
blow|blew|blown||blasen
break|broke|broken||zerbrechen
bring|brought|brought||herbringen
build|built|built||bauen
burst|burst|burst||zerplatzen
buy|bought|bought||kaufen
catch|caught|caught||fangen
choose|chose|chosen||wählen
come|came|come||kommen
cost|cost|cost||kosten
cut|cut|cut||schneiden
deal|dealt|dealt||verhandeln, verteilen
do|did|done||tun, machen
draw|drew|drawn||zeichnen
drink|drank|drunk||trinken
drive|drove|driven||ein Fahrzeug führen
eat|ate|eaten||essen
fall|fell|fallen||fallen
feed|fed|fed||füttern
feel|felt|felt||fühlen
fight|fought|fought||kämpfen
find|found|found||finden
fly|flew|flown||fliegen
forget|forgot|forgotten||vergessen
freeze|froze|frozen||frieren
get|got|got, gotten (AE)||bekommen
give|gave|given||geben
go|went|gone||gehen
grow|grew|grown||wachsen
hang|hung|hung||hängen, aufhängen
have|had|had||haben
hear|heard|heard||hören
hide|hid|hidden||verstecken
hit|hit|hit||schlagen, treffen
hold|held|held||halten
hurt|hurt|hurt||verletzen
keep|kept|kept||behalten
know|knew|known||wissen, kennen
lay|laid|laid||legen
lead|led|led||führen, leiten
leave|left|left||verlassen
lend|lent|lent||verleihen
let|let|let||lassen
lie**|lay|lain||liegen
light*|lit|lit||anzünden
lose|lost|lost||verlieren
make|made|made||machen (herstellen)
mean|meant|meant||bedeuten
meet|met|met||treffen
pay|paid|paid||bezahlen
put|put|put||setzen, stellen, legen
read|read|read||lesen
ride|rode|ridden||reiten
ring|rang|rung||klingeln, läuten
rise|rose|risen||aufgehen, ansteigen
run|ran|run||rennen
say|said|said||sagen
see|saw|seen||sehen
sell|sold|sold||verkaufen
send|sent|sent||schicken
set|set|set||setzen, stellen, legen
shake|shook|shaken||schütteln
steal|stole|stolen||stehlen
shine|shone|shone||scheinen
shoot|shot|shot||schießen
show*|showed|shown||zeigen
shut|shut|shut||schließen
sing|sang|sung||singen
sink|sank|sunk||sinken, untergehen
sit|sat|sat||sitzen
sleep|slept|slept||schlafen
slide|slid|slid||ausrutschen
speak|spoke|spoken||sprechen
spend|spent|spent||Geld ausgeben, Zeit verbringen
spring|sprang|sprung||springen
stand|stood|stood||stehen
stick|stuck|stuck||steckenbleiben
swear|swore|sworn||schwören
sweep|swept|swept||kehren
swim|swam|swum||schwimmen
swing|swung|swung||schwingen
take|took|taken||nehmen, (weg)bringen; dauern
teach|taught|taught||lehren, unterrichten
tear|tore|torn||zerreißen
tell|told|told||erzählen, berichten
think|thought|thought||denken
throw|threw|thrown||werfen
understand|understood|understood||verstehen
wake*|woke|woken||aufwecken
wear|wore|worn||anhaben, tragen
weave|wove|woven||weben
win|won|won||gewinnen
write|wrote|written||schreiben
