Infinito|Passato|Participio|Traduzione
abide|abode|abode|stare
arise|arose|arisen|sgorgare
awake|awoke|awoken|svegliare
bear|bore|borne|sopportare
beat|beat|beaten|battere
become|became|become|diventare
begin|began|begun|cominciare
bend|bent|bent|curvare, piegare
bet|bet|bet|scommettere
bid|bid|bid|fare un'offerta
bind|bound|bound|legare
bite|bit|bitten|mordere
bleed|bled|bled|sanguinare
blow|blew|blown|soffiare
break|broke|broken|rompere
breed|bred|bred|allevare
bring|brought|brought|accompagnare
build|built|built|costruire
burn|burnt|burnt|bruciare
burst|burst|burst|scoppiare
buy|bought|bought|comprare
cast|cast|cast|lanciare (un dado)
catch|caught|caught|ottenere (prendere)
choose|chose|chosen|scegliere
cling|clung|clung|afferrare
come|came|come|venire
cost|cost|cost|costare
creep|crept|crept|strisciare
cut|cut|cut|eliminare, tagliare
deal|dealt|dealt|gestire (trattare)
dig|dug|dug|scavare
do|did|done|fare
draw|drew|drawn|tirare
dream|dreamt|dreamt|sognare
drink|drank|drunk|bere
drive|drove|driven|guidare
dwell|dwelt|dwelt|dimorare
eat|ate|eaten|mangiare
fall|fell|fallen|cadere
feed|fed|fed|nutrire
feel|felt|felt|sentire
fight|fought|fought|combattere
find|found|found|trovare
flee|fled|fled|fuggire
fling|flung|flung|lanciare (con forza)
fly|flew|flown|volare
forbid|forbade|forbidden|vietare
forget|forgot|forgotten|dimenticare
forgive|forgave|forgiven|perdonare
freeze|froze|frozen|ghiacciare
get|got|got|ottenere, diventare
give|gave|given|dare
go|went|gone|andare
grind|ground|ground|macinare
grow|grew|grown|produrre (coltivare)
hang|hung|hung|appendere
have|had|had|avere
hear|heard|heard|udire
hide|hid|hidden|nascondere
hit|hit|hit|percuotere, colpire
hold|held|held|tenere
hurt|hurt|hurt|fare male
keep|kept|kept|conservare
kneel|knelt|knelt|inginocchiarsi
know|knew|known|sapere
lay|laid|laid|stendere
lead|led|led|condurre
lean|leant|leant|piegare (inclinare)
leap|leapt|leapt|saltare
learn|learnt|learnt|imparare
leave|left|left|partire (andar via)
lend|lent|lent|prestare
let|let|let|lasciare
lie|lay|lain|sdraiarsi
light|lit|lit|illuminare
lose|lost|lost|perdere
make|made|made|fare, realizzare
mean|meant|meant|significare
meet|met|met|incontrare
mow|mowed|mown|falciare
overcome|overcame|overcome|sopraffare
pay|paid|paid|pagare
put|put|put|mettere
quit|quit|quit|smettere
read|read|read|leggere
rid|rid|rid|liberare da
ride|rode|ridden|andare in, cavalcare
ring|rang|rung|suonare
rise|rose|risen|alzarsi
run|ran|run|correre
saw|sawed|sawn|segare
say|said|said|dire
see|saw|seen|vedere
seek|sought|sought|cercare
sell|sold|sold|vendere
send|sent|sent|mandare
set|set|set|fissare
sew|sewed|sewn|cucire
shake|shook|shaken|scuotere
shear|sheared|shorn|tosare
shed|shed|shed|spargere
shine|shone|shone|brillare
shoe|shod|shod|ferrare i cavalli
shoot|shot|shot|sparare
show|showed|shown|mostrare
shrink|shrank|shrunk|ridursi
shut|shut|shut|chiudere
sing|sang|sung|cantare
sink|sank|sunk|affondare
sit|sat|sat|sedersi
sleep|slept|slept|dormire
slide|slid|slid|scivolare
slink|slunk|slunk|sgattaiolare
slit|slit|slit|tagliare
smell|smelt|smelt|sentire odore
sow|sowed|sown|seminare
speak|spoke|spoken|parlare
speed|sped|sped|accelerare
spell|spelt|spelt|scandire
spend|spent|spent|spendere
spill|spilt|spilt|versare
spit|spat|spat|sputare
split|split|split|spaccare
spoil|spoilt|spoilt|guastare
spread|spread|spread|espandere
spring|sprang|sprung|rimbalzare
stand|stood|stood|stare in piedi
steal|stole|stolen|rubare
stick|stuck|stuck|appiccicare
sting|stung|stung|pungere
stink|stank|stunk|puzzare
stride|strode|stridden|avanzare a grandi passi
strike|struck|struck|colpire
strive|strove|striven|sforzarsi
swear|swore|sworn|giurare
sweep|swept|swept|spazzare
swell|swelled|swollen|gonfiare
swim|swam|swum|nuotare
swing|swung|swung|dondolare
take|took|taken|prendere
teach|taught|taught|insegnare
tear|tore|torn|lacerare
tell|told|told|dire, raccontare
think|thought|thought|pensare
throw|threw|thrown|gettare, slanciare
thrust|thrust|thrust|ficcare, forzare
tread|trod|trodden|calpestare
undergo|underwent|undergone|subire
understand|understood|understood|capire
upset|upset|upset|preoccupare
wake|woke|woken|svegliarsi
wear|wore|worn|indossare
weave|wove|woven|tessere
weep|wept|wept|piangere
win|won|won|vincere
wind|wound|wound|serpeggiare
withdraw|withdrew|withdrawn|ritirarsi
wring|wrung|wrung|torcere
write|wrote|written|scrivere
