arise|arose|arisen|surgir, erguer-se
 awake| awoke| awoken| despertar
 be| was, were| been| ser, estar
 bear| bore| borne| suportar, ser portador de
 beat| beat| beaten| bater
 become| became| become| tornar-se
 befall| befell| befallen| acontecer
 beget| begot| begotten, begot| procriar, gerar
 begin| began| begun| começar
 behold| beheld| beheld| contemplar
 bend| bent| bent| curvar
 bet| bet| bet| apostar
 bid| bid| bid| oferecer, fazer uma oferta
 bind| bound| bound| unir, encadernar, obrigar-se
 bite| bit| bitten| morder
 bleed| bled| bled| sangrar, ter hemorragia
 blow| blew| blown| assoprar, explodir
 break| broke| broken| quebrar
 breed| bred| bred| procriar, reproduzir
 bring| brought| brought| trazer
 broadcast| broadcast| broadcast| irradiar, transmitir
 build| built| built| construir
 buy| bought| bought| comprar
 cast| cast| cast| atirar, deitar
 catch| caught| caught| pegar, capturar
 choose| chose| chosen| escolher
 cling| clung| clung| aderir, segurar-se
 come| came| come| vir
 cost| cost| cost| custar
 creep| crept| crept| rastejar
 cut| cut| cut| cortar
 deal| dealt| dealt| negociar, tratar
 dig| dug| dug| cavocar
 do| did| done| fazer **
 draw| drew| drawn| tracionar, desenhar **
 drink| drank| drunk| beber
 drive| drove| driven| dirigir, ir de carro
 eat| ate| eaten| comer
 fall| fell| fallen| cair
 feed| fed| fed| alimentar
 feel| felt| felt| sentir, sentir-se
 fight| fought| fought| lutar
 find| found| found| achar, encontrar
 flee| fled| fled| fugir, escapar
 fling| flung| flung| arremessar
 fly| flew| flown| voar, pilotar
 forbid| forbade| forbidden| proibir
 forget| forgot| forgot, forgotten| esquecer
 forgive| forgave| forgiven| perdoar
 freeze| froze| frozen| congelar, paralisar
 get| got| gotten, got| obter **
 give| gave| given| dar
 go| went| gone| ir
 grind| ground| ground| moer
 grow| grew| grown| crescer, cultivar
 have| had| had| ter, beber, comer
 hear| heard| heard| ouvir
 hide| hid| hidden, hid| esconder
 hit| hit| hit| bater
 hold| held| held| segurar
 hurt| hurt| hurt| machucar
 keep| kept| kept| guardar, manter
 know| knew| known| saber, conhecer
 lay| laid| laid| colocar em posição horizontal, assentar
 lead| led| led| liderar
 leave| left| left| deixar, partir
 lend| lent| lent| dar emprestado
 let| let| let| deixar, alugar
 lie| lay| lain| deitar
 lose| lost| lost| perder, extraviar
 make| made| made| fazer, fabricar **
 mean| meant| meant| significar, querer dizer
 meet| met| met| encontrar, conhecer
 overcome| overcame| overcome| superar
 overtake| overtook| overtaken| alcançar, surpreender
 pay| paid| paid| pagar
 put| put| put| colocar
 quit| quit| quit| abandonar
 read| read| read| ler
 ride| rode| ridden| andar
 ring| rang| rung| tocar (campainha, etc.)
 rise| rose| risen| subir, erguer-se
 run| ran| run| correr, concorrer, dirigir
 saw| sawed| sawn| serrar
 say| said| said| dizer
 see| saw| seen| ver
 seek| sought| sought| procurar obter, objetivar
 sell| sold| sold| vender
 send| sent| sent| mandar
 set| set| set| pôr em determinada condição, marcar, ajustar **
 shake| shook| shaken| sacudir, tremer
 shed| shed| shed| soltar, deixar cair **
 shine| shone| shone| brilhar, reluzir
 shoot| shot| shot| atirar, alvejar
 show| showed| shown| mostrar, exibir
 shrink| shrank| shrunk| encolher, contrair
 shut| shut| shut| fechar, cerrar
 sing| sang| sung| cantar
 sink| sank| sunk| afundar, submergir
 sit| sat| sat| sentar
 slay| slew| slain| matar, assassinar
 sleep| slept| slept| dormir
 slide| slid| slid| deslizar, escorregar
 sling| slung| slung| atirar, arremessar
 speak| spoke| spoken| falar
 spend| spent| spent| gastar
 spin| spun| spun| fiar, rodopiar
 spit| spit, spat| spit, spat| cuspir
 spread| spread| spread| espalhar
 spring| sprang| sprung| fazer saltar
 stand| stood| stood| parar de pé, agüentar
 steal| stole| stolen| roubar
 stick| stuck| stuck| cravar, fincar, enfiar
 sting| stung| stung| picar (inseto)
 stink| stank| stunk| cheirar mal
 strike| struck| struck| golpear, desferir, atacar
 string| strung| strung| encordoar, amarrar
 strive| strove| striven| esforçar-se, lutar
 swear| swore| sworn| jurar, prometer, assegurar
 sweep| swept| swept| varrer
 swim| swam| swum| nadar
 swing| swung| swung| balançar, alternar
 take| took| taken| tomar **
 teach| taught| taught| ensinar, dar aula
 tear| tore| torn| rasgar, despedaçar
 tell| told| told| contar
 think| thought| thought| pensar
 throw| threw| thrown| atirar, arremessar
 tread| trod| trodden| pisar, trilhar
 undergo| underwent| undergone| submeter-se a, suportar
 understand| understood| understood| entender
 uphold| upheld| upheld| sustentar, apoiar, defender
 wear| wore| worn| vestir, usar, gastar
 win| won| won| vencer, ganhar
 wind| wound| wound| enrolar, rodar, dar corda
 write| wrote| written| escrever, redigir
