be|was/were|been|бути
become|became|become|ставати
begin|began|begun|починати
break|broke|broken|ламати
bring|brought|brought|приносити
build|built|built|будувати
buy|bought|bought|купувати
can|could|been able|могти
catch|caught|caught|ловити
choose|chose|chosen|вибирати
come|came|come|приходити
cost|cost|cost|коштувати
cut|cut|cut|вирізати
do|did|done|робити
drink|drank|drunk|пити
drive|drove|driven|їздити
eat|ate|eaten|їсти
fall|fell|fallen|падати
feel|felt|felt|відчувати
fight|fought|fought|боротися
find|found|found|знаходити
fly|flew|flown|літати
forget|forgot|forgotten|забувати
get|got|got|отримувати
give|gave|given|давати
go|went|gone|йти
grow|grew|grown|рости
have|had|had|мати
hear|heard|heard|чути
hit|hit|hit|бити
keep|kept|kept|тримати
know|knew|known|знати
learn|learnt|learnt|вивчати
leave|left|left|залишати
lose|lost|lost|втрачати
make|made|made|зробити
meet|met|met|зустрічати
pay|paid|paid|платити
put|put|put|класти
read|read|read|читати
ride|rode|ridden|їздити
run|ran|run|бігти
say|said|said|сказати
see|saw|seen|бачити
sell|sold|sold|продавати
send|sent|sent|відправляти
shut|shut|shut|закривати
sing|sang|sung|співати
sit|sat|sat|сидіти
sleep|slept|slept|спати
speak|spoke|spoken|говорити
spend|spent|spent|витрачати, проводити час
stand|stood|stood|стояти
steal|stole|stolen|красти
swim|swam|swum|плавати
take|took|taken|брати
tell|told|told|розповідати
think|thought|thought|думати
understand|understood|understood|розуміти
wake|woke|woken|прокидатися
wear|wore|worn|носити
win|won|won|перемагати
write|wrote|written|писати
